checkfit_json,common_aperture_arcsec,contained,frame_status,galaxy_id,logMstar,logMstar_method_sd,n_intersecting_bricks,n_retained,pair_to_next_abs_delta_background_over_mean_RMS,pair_to_next_abs_delta_common_aperture_arcsec,pair_to_next_abs_delta_log10_Mstar_dex,pair_to_next_abs_delta_stage1_R50_arcsec,pair_to_next_pass,r_background,r_background_rms,reason,safe_radius_arcsec,size_pix,stage1_R50_arcsec,stage1_Rd_arcsec
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",15.7828981202455,True,success,WALLABY J125243+075643,9.91870307890713,0.1465728946413505,1,44,0.007903173924941543,0.0,0.0011042015173536868,0.032814060768388664,True,0.000276613,0.00522196,,131.67334,1024,5.598464859133826,3.335701671010386
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",15.7828981202455,True,success,WALLABY J125243+075643,9.919807280424484,0.15192626377674084,1,44,,,,,,0.000235459,0.00519259,,165.20934000000003,1280,5.631278919902215,3.3552530873525233
,,,quality_fail,WALLABY J125308+081035,,,,,,,,,,,,r-band AutoProf outputs missing,,1024,,
,,,quality_fail,WALLABY J125308+081035,,,,,,,,,,,,r-band AutoProf outputs missing,,1280,,
,,,quality_fail,WALLABY J125308+081035,,,,,,,,,,,,r-band AutoProf outputs missing,,1536,,
,,,quality_fail,WALLABY J125308+081035,,,,,,,,,,,,r-band AutoProf outputs missing,,1792,,
,,,quality_fail,WALLABY J125308+081035,,,,,,,,,,,,r-band AutoProf outputs missing,,2048,,
,,,quality_fail,WALLABY J125308+081035,,,,,,,,,,,,r-band AutoProf outputs missing,,2304,,
,,,quality_fail,WALLABY J125308+081035,,,,,,,,,,,,r-band AutoProf outputs missing,,2560,,
,,,quality_fail,WALLABY J125308+081035,,,,,,,,,,,,r-band AutoProf outputs missing,,2816,,
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",1.3242712146681515,True,success,WALLABY J125308+081035,7.8757733374666135,0.27996635299881845,4,18,,,,,,0.000143743,0.004655,,387.77834,3072,0.5507196341307088,0.328132166594014
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",25.41851525163659,True,success,WALLABY J125339+040434,7.387786572741129,0.16270771377410292,1,49,0.012243747635781918,0.0,0.0031654235356004534,0.004259109313437648,False,8.10144e-05,0.0017325,,129.30748,1024,7.455520874954859,4.44218085968078
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",25.41851525163659,True,success,WALLABY J125339+040434,7.39095199627673,0.16737217647948582,1,49,0.006442483624121765,0.0,0.015075196007551916,0.01036590674864879,True,0.000102215,0.00173059,,162.84348,1280,7.451261765641421,4.439643178653691
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",25.41851525163659,True,success,WALLABY J125339+040434,7.375876800269178,0.17672101489104486,2,49,,,,,,0.000113324,0.00171808,,196.37948,1536,7.46162767239007,4.445819438277183
