galaxy_id,field_id,log10_gbar,gbar,gobs,proxy_value,delta_ref,primary_resolution,crossfit_ok,stratum,rad_arcsec,vrot_kms,gstar,log10_gstar,ggas,gravity_step_relative_change
WALLABY J132635-221419,NGC5044,-11.2011360637,6.29308990517e-12,1.05640237937e-11,4.26881438606,-0.457769730454,True,True,low,37.62,34.8,2.74395293768e-12,-11.5616233416,3.54913696749e-12,4.84089917954e-07
WALLABY J132635-221419,NGC5044,-11.1349620407,7.32888588161e-12,1.11989065569e-11,4.26881438606,-0.469349668598,True,True,low,52.68,42.4,1.96877890553e-12,-11.7058030525,5.36010697608e-12,6.42218026255e-06
WALLABY J132635-221419,NGC5044,-11.290829944,5.11882233213e-12,1.18701137178e-11,4.26881438606,-0.357522174555,True,True,low,67.74,49.5,1.38989175256e-12,-11.8570190221,3.72893057957e-12,9.92219032682e-07
WALLABY J132635-221419,NGC5044,-11.3443642619,4.52517874026e-12,1.20764000895e-11,4.26881438606,-0.320640646791,True,True,low,82.8,55.2,9.88419696628e-13,-12.0050586088,3.53675904364e-12,4.86405566108e-07
WALLABY J132635-221419,NGC5044,-11.4542178612,3.5138412656e-12,1.1871849819e-11,4.26881438606,-0.268199562247,True,True,low,97.86,59.5,7.16299540896e-13,-12.1449053272,2.79754172471e-12,1.23368182567e-07
WALLABY J133019-220858,NGC5044,-10.4934337649,3.21045239892e-11,6.19226718178e-11,10.2560426964,-0.103195753669,True,True,middle,7.5,73.8,3.21045239892e-11,-10.4934337649,0,1.07936164722e-05
WALLABY J133019-220858,NGC5044,-10.8094586954,1.55074826729e-11,4.82631894056e-11,10.2560426964,-0.0211816265841,True,True,middle,22.56,113,1.21198455716e-11,-10.9165029138,3.38763710137e-12,4.29786332988e-06
WALLABY J133019-220858,NGC5044,-11.1385580065,7.26845311636e-12,3.12403311812e-11,10.2560426964,-0.0217957777782,True,True,middle,37.62,117.4,4.56306370874e-12,-11.3407434676,2.70538940762e-12,2.64221377744e-06
WALLABY J133019-220858,NGC5044,-11.3953885035,4.02356939892e-12,1.98715608573e-11,10.2560426964,-0.0764673933227,True,True,middle,52.68,110.8,2.1761730493e-12,-11.6623065725,1.84739634962e-12,8.11759349104e-07
WALLABY J133041-233009,NGC5044,-9.87318738384,1.33909878552e-10,1.68130911739e-10,13.4306808429,-0.0828192418893,True,True,middle,7.5,186.5,1.33909878552e-10,-9.87318738384,0,1.17612829247e-06
WALLABY J133041-233009,NGC5044,-10.4326648507,3.69262452065e-11,9.01866354703e-11,13.4306808429,0.0221881812681,True,True,middle,22.56,236.9,3.47111246219e-11,-10.4595313152,2.21512058459e-12,4.50618337626e-07
WALLABY J133041-233009,NGC5044,-10.855271972,1.39549417505e-11,4.92644334456e-11,13.4306808429,0.0144767723222,True,True,middle,37.62,226.1,1.16622447903e-11,-10.933217847,2.29269696012e-12,2.49104147374e-07
WALLABY J133041-233009,NGC5044,-11.067873451,8.55315906879e-12,3.72007167309e-11,13.4306808429,0.0142931621817,True,True,middle,52.68,232.5,5.60174424479e-12,-11.2516767234,2.951414824e-12,7.04030556583e-06
WALLABY J133041-233009,NGC5044,-11.2983998071,5.03037304476e-12,2.71902869118e-11,13.4306808429,0.00660336932171,True,True,middle,67.74,225.4,3.30614361584e-12,-11.480678285,1.72422942892e-12,1.48393471307e-06
WALLABY J133440-234722,NGC5044,-9.85108036115,1.40902805003e-10,1.03955951466e-10,14.1453593133,-0.307611880833,True,True,high,7.5,114,1.40902805003e-10,-9.85108036115,0,1.98246546638e-08
WALLABY J133440-234722,NGC5044,-10.3852571996,4.11853537365e-11,8.16262841639e-11,14.1453593133,-0.0510349556567,True,True,high,22.56,175.2,4.00055105365e-11,-10.3978801829,1.17984320005e-12,8.30888410453e-07
