galaxy_id,pair_index,rin_arcsec,rout_arcsec,sigma_hi_msun_pc2
WALLABY J125604+064914,1,18,30.0000000001,2.65048507782
WALLABY J125604+064914,2,30.0000000001,42.0000000001,1.60663275045
WALLABY J125604+064914,3,42.0000000001,54.0000000001,0.122254446699
WALLABY J125604+064914,4,54.0000000001,66.0000000001,0.0225370480637
WALLABY J125604+064914,5,66.0000000001,78.0000000002,0.00490495281579
WALLABY J125605+053051,0,6.00000000001,18,3.45572314727
WALLABY J125605+053051,1,18,30.0000000001,1.36979450081
WALLABY J125605+053051,2,30.0000000001,42.0000000001,0.911046280702
WALLABY J125605+053051,3,42.0000000001,54.0000000001,0.110769756967
WALLABY J125605+053051,4,54.0000000001,66.0000000001,0.0846458498612
WALLABY J125605+053051,5,66.0000000001,78.0000000002,0.0244765573887
WALLABY J125605+053051,6,78.0000000002,90.0000000002,0.0082167914018
WALLABY J125627+060352,0,6.00000000001,18,2.66238335474
WALLABY J125627+060352,1,18,30.0000000001,3.07847567531
WALLABY J125627+060352,2,30.0000000001,42.0000000001,2.48777086238
WALLABY J125627+060352,3,42.0000000001,54.0000000001,0.892371876081
WALLABY J125627+060352,4,54.0000000001,66.0000000001,0.859402951983
WALLABY J125627+060352,5,66.0000000001,78.0000000002,0.203789048387
WALLABY J125627+060352,6,78.0000000002,90.0000000002,0.102398974755
WALLABY J125627+060352,7,90.0000000002,102,0.0184753071093
WALLABY J125627+060352,8,102,114,0.00411586690918
WALLABY J125636+030211,0,4.4408920985e-16,12,2.31823885553
WALLABY J125636+030211,1,12,24,2.55541630313
WALLABY J125636+030211,2,24,36.0000000001,0.434599607145
WALLABY J125636+030211,3,36.0000000001,48.0000000001,0.137806573913
WALLABY J125636+030211,4,48.0000000001,60.0000000001,0.00355579772108
WALLABY J125646+034002,0,6.00000000001,18,1.01830107415
WALLABY J125646+034002,1,18,30.0000000001,0.816952823242
WALLABY J125646+034002,2,30.0000000001,42.0000000001,0.344282143057
WALLABY J125646+034002,3,42.0000000001,54.0000000001,0.371978390399
WALLABY J125646+034002,4,54.0000000001,66.0000000001,0.0635855660371
WALLABY J125646+034002,5,66.0000000001,78.0000000002,0.0365523439944
WALLABY J125646+034002,6,78.0000000002,90.0000000002,0.00482195422465
WALLABY J125646+034002,7,90.0000000002,102,0.00762631699084
WALLABY J125646+034002,8,102,114,0.00460214937427
WALLABY J125646+034002,9,114,126,0.00313119567216
WALLABY J125646+034002,10,126,138,0.00576249009841
WALLABY J125646+034002,11,138,150,0.00589422665813
